REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
-3.8263451367913626,0.059569941512924635,21.69831642065281,0.13335,0.0427,0.0005,0.13088578428140507,2.61561807155461e-119,3.973998827473409e-119,-8.183063829920473e-119,,,,2.4350013754825638e-120,2292,3102,3204,3240,3246,3124,3202
-3.8438851236311087,0.058537622828732955,21.742621492197802,0.13421,0.04167,0.0005,0.130534256617361,2.507379563152792e-119,5.065744956867701e-119,-9.993086094563352e-119,,,,2.616477163759992e-120,2292,3102,3204,3240,3246,3124,3202
-3.8611611351591804,0.05746216250987464,21.786261369287995,0.136,0.04264,0.0005,0.130175286872547,2.2299294440389517e-119,6.06931295604676e-119,-1.156263540187961e-118,,,,2.6783765491783676e-120,2292,3102,3204,3240,3246,3124,3202
-3.877905661456721,0.05650621728071729,21.82884636898856,0.13554,0.04111,0.0005,0.1298310114230445,1.7669151385997735e-119,6.908292869679335e-119,-1.27523532999841e-118,,,,2.59389063555396e-120,2292,3102,3204,3240,3246,3124,3202
-3.8938847898456683,0.05581130062386774,21.870041712563005,0.1368,0.04158,0.0005,0.12952226078656537,1.1097905008212629e-119,7.501214337270382e-119,-1.3418361708911062e-118,,,,2.3396761204507183e-120,2292,3102,3204,3240,3246,3124,3202
-3.9089070712188447,0.055491101433970826,21.909579313721235,0.13442,0.04214,0.0005,0.129267978237924,2.5983238727132978e-120,7.765384167780345e-119,-1.341989526076674e-118,,,,1.8979064567695605e-120,2292,3102,3204,3240,3246,3124,3202
-3.9228298854355144,0.05562656152114065,21.947263025182384,0.13476,0.04198,0.0005,0.12908457260811132,-7.700331997945973e-120,7.621539137084113e-119,-1.2628227139739056e-118,,,,1.25839390252177e-120,2292,3102,3204,3240,3246,3124,3202
-3.935563088419677,0.05626309520262767,21.982967642267866,0.13694,0.04163,0.0005,0.1289852232424302,-1.9537402417945887e-119,6.999196714782556e-119,-1.0936611059765202e-118,,,,4.206707084143602e-121,2292,3102,3204,3240,3246,3124,3202
-3.947069899191623,0.057410238460478644,22.01663298505304,0.1353,0.04111,0.0005,0.12897920038990618,-3.2510801642479113e-119,5.842522452423439e-119,-8.270848240205073e-119,,,,-6.041015248344887e-121,2292,3102,3204,3240,3246,3124,3202
-3.9573651335585622,0.05904382455275545,22.048254903838963,0.13541,0.04198,0.0005,0.1290712950402622,-4.607341443294295e-119,4.116467123979455e-119,-4.599975563669733e-119,,,,-1.7915404816621294e-120,2292,3102,3204,3240,3246,3124,3202
