REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
-4.519319893935146,0.6384326062180782,19.192928208635674,0.15472,0.03188,0.00054,0.06047635594444859,-4.934027559135573e-170,-6.4637727965801714e-170,-2.6755231306821e-170,,,,1.8497896380738553e-170,3678,4410,4530,4566,4566,4442,4518
-4.528972033642644,0.636402475169146,19.18134179653273,0.1536,0.03415,0.00054,0.06010449831678855,-2.853697677232505e-170,-4.0985428448013024e-170,-7.431798858447103e-170,,,,1.9187802859529837e-170,3678,4410,4530,4566,4566,4442,4518
-4.538374118800178,0.6343756260965939,19.170352881342804,0.15378,0.03196,0.00054,0.05973697527703319,-2.01900397617602e-171,-1.0330856439508601e-170,-1.2669413964359825e-169,,,,1.887672240454433e-170,3678,4410,4530,4566,4566,4442,4518
-4.5473332769619965,0.6323681685640433,19.160285041300185,0.15082,0.0336,0.00053,0.059376524436349026,2.9751981913597743e-170,2.6869003255516295e-170,-1.8171858832737706e-169,,,,1.7389267002109137e-170,3678,4410,4530,4566,4566,4442,4518
-4.55568244264923,0.6303953778052218,19.151406373818865,0.15138,0.03392,0.00053,0.05902539106506592,6.5914343876068544e-170,6.968168465583254e-170,-2.3665050612175367e-169,,,,1.4585652464178602e-170,3678,4410,4530,4566,4566,4442,4518
-4.563289145851018,0.6284717479560247,19.14390737841662,0.15457,0.03338,0.00054,0.058685110176883847,1.051799844230002e-169,1.1666232721301591e-169,-2.882239368725695e-169,,,,1.0376856229385277e-170,3678,4410,4530,4566,4566,4442,4518
-4.570061274308966,0.626611628519708,19.1378879843749,0.15417,0.03287,0.00054,0.058356475912636145,1.458279501261078e-169,1.6583991346575235e-169,-3.327392481247826e-169,,,,4.739708113205605e-171,3678,4410,4530,4566,4566,4442,4518
-4.5759496176657,0.6248302600526372,19.13335464123877,0.15615,0.03264,0.00054,0.058039710018521165,1.8572239217179897e-169,2.1473195331218348e-169,-3.661979292267174e-169,,,,-2.2689912669189876e-171,3678,4410,4530,4566,4566,4442,4518
-4.5809473543306884,0.6231448913434033,19.13022681604717,0.15432,0.03295,0.00054,0.05773480810949578,2.2235853606227683e-169,2.6039225364111037e-169,-3.844811573165515e-169,,,,-1.0500347426163398e-170,3678,4410,4530,4566,4566,4442,4518
-4.585086899069533,0.6215756427974227,19.128351035674786,0.15294,0.03203,0.00053,0.057442013504507984,2.5293936465226258e-169,2.9949535379153547e-169,-3.835700459024833e-169,,,,-1.9704347408567446e-170,3678,4410,4530,4566,4566,4442,4518
-4.588434710272922,0.6201458713451584,19.12751999888884,0.15722,0.03286,0.00054,0.05716234477459076,2.744844261823314e-169,3.284597324593557e-169,-3.598026224254963e-169,,,,-2.9525067089721066e-170,3678,4410,4530,4566,4566,4442,4518
-4.5910847451015515,0.6188819330416002,19.12749416322216,0.15464,0.03347,0.00054,0.0568980865606129,2.8397055275074126e-169,3.436100067998809e-169,-3.10159450490292e-169,,,,-3.950121302863142e-170,3678,4410,4530,4566,4566,4442,4518
-4.593151221282855,0.6178123683095952,19.12802337118534,0.15522,0.03228,0.00054,0.05665315028353609,2.785023463121592e-169,3.413760816588812e-169,-2.3256655368518554e-169,,,,-4.907299954887401e-170,3678,4410,4530,4566,4566,4442,4518
-4.594761222705402,0.6169666222414554,19.12886643655747,0.15489,0.0313,0.00054,0.05643322832302828,2.5550811433414976e-169,3.1852462673323555e-169,-1.2620107897998468e-169,,,,-5.759618085873557e-170,3678,4410,4530,4566,4566,4442,4518
-4.596047538517187,0.6163734599886349,19.12980718260218,0.15558,0.03359,0.00054,0.056245701358998895,2.1295459654245156e-169,2.724154531449643e-169,8.21784336592076e-171,,,,-6.436379366070372e-170,3678,4410,4530,4566,4566,4442,4518
-4.59714199391158,0.6160592463692492,19.130666140801143,0.15414,0.0333,0.00054,0.05609930439631388,1.495714240598988e-169,2.0127245055545042e-169,1.681731073189947e-169,,,,-6.863581732084152e-170,3678,4410,4530,4566,4566,4442,4518
-4.598169422978794,0.6160462209165783,19.131307828425808,0.15417,0.03467,0.00054,0.05600359619040112,6.507392310285235e-170,1.0445588349396245e-169,3.4915039247564426e-169,,,,-6.967653060190857e-170,3678,4410,4530,4566,4566,4442,4518
-4.599242359955231,0.6163508241156355,19.131644099957686,0.15575,0.03283,0.00054,0.055968295323428265,-3.962923129606534e-170,-1.7279790447387245e-170,5.445184470622739e-169,,,,-6.679884609486807e-170,3678,4410,4530,4566,4566,4442,4518
-4.600456506568106,0.6169820611436198,19.131634409526217,0.15516,0.03308,0.00054,0.05600254463845718,-1.6225872269006926e-169,-1.6156062779243375e-169,7.455113658602135e-169,,,,-5.9414351736803455e-170,3678,4410,4530,4566,4566,4442,4518
-4.601887078831772,0.6179398754974913,19.131283858804295,0.15584,0.03257,0.00054,0.05611415817239381,-2.9903402242497494e-169,-3.242200495739432e-169,9.413336562024278e-169,,,,-4.708720537305466e-170,3678,4410,4530,4566,4566,4442,4518
-4.603586218869428,0.6192135606738661,19.130639679744856,0.15536,0.03246,0.00054,0.05630890225008722,-4.4460630601438754e-169,-4.991981674611767e-169,1.1194056502713087e-168,,,,-2.9589441571292355e-170,3678,4410,4530,4566,4566,4442,4518
-4.605581712270916,0.6207803384163361,19.12978648033402,0.15519,0.03352,0.00054,0.05658986186117748,-5.920711137628958e-169,-6.785335689458945e-169,1.265761922567241e-168,,,,-6.954693876243597e-171,3678,4410,4530,4566,4566,4442,4518
-4.607877214084811,0.6226043398633039,19.128840374949785,0.15553,0.03502,0.00054,0.05695693505023952,-7.330754447765149e-169,-8.524659465285564e-169,1.3656087750874067e-168,,,,2.047315076830076e-170,3678,4410,4530,4566,4566,4442,4518
-4.610454040394577,0.6246362994415322,19.12794216370578,0.15488,0.03285,0.00054,0.05740648068958659,-8.580312334735856e-169,-1.0096649609580909e-168,1.404038620967045e-168,,,,5.200022337937404e-170,3678,4410,4530,4566,4566,4442,4518
-4.613274376421143,0.6268142574883281,19.12724996934589,0.15404,0.03276,0.00054,0.05793112763757117,-9.564431807064017e-169,-1.1375962439166514e-168,1.366889400215244e-168,,,,8.655594712051808e-170,3678,4410,4530,4566,4566,4442,4518
-4.616285562326779,0.6290654369837835,19.12693200256926,0.15544,0.03174,0.00054,0.05851974231130915,-1.0173536933111268e-168,-1.2230294478704033e-168,1.2417262884259258e-168,,,,1.2268341179701042e-169,3678,4410,4530,4566,4566,4442,4518
-4.61942499807405,0.6313092497437447,19.12716024289116,0.15463,0.03266,0.00054,0.05915754646954738,-1.0299012945688447e-168,-1.2526858018576514e-168,1.0189113262603888e-168,,,,1.5855072826303827e-169,3678,4410,4530,4566,4566,4442,4518
-4.622625179567977,0.6334611771062579,19.128105708029622,0.15474,0.03311,0.00054,0.059826378922162984,-9.83981454504066e-169,-1.2140138912477273e-168,6.927147447343737e-169,,,,1.9198675288693178e-169,3678,4410,4530,4566,4566,4442,4518
-4.625818443875144,0.6354371262225913,19.129935626074815,0.15576,0.03134,0.00054,0.060505109905601095,-8.709905936286608e-169,-1.0960726137267744e-168,2.6241034720858035e-169,,,,2.2054378755577732e-169,3678,4410,4530,4566,4566,4442,4518
-4.628941145556393,0.6371578204211874,19.13281229547817,0.15594,0.03274,0.00054,0.061170242812512265,-6.846253698943029e-169,-8.904898519477778e-169,-2.6671290670763634e-169,,,,2.4158877007389392e-169,3678,4410,4530,4566,4566,4442,4518
-4.631937150053023,0.6385528387801224,19.13689288135733,0.15474,0.03415,0.00054,0.061796754733681625,-4.21700690512242e-169,-5.924548359897359e-169,-8.824991513277211e-169,,,,2.5242307847652213e-169,3678,4410,4530,4566,4566,4442,4518
-4.634760628706583,0.6395640377453253,19.142329048899928,0.1548,0.03359,0.00054,0.062359207881317685,-8.294170577141326e-170,-2.016920407348472e-169,-1.5653150042290953e-168,,,,2.5042940479417994e-169,3678,4410,4530,4566,4566,4442,4518
-4.637378141379263,0.640148212138168,19.149265305554845,0.15372,0.03222,0.00054,0.06283310028560452,3.2630208141058557e-169,2.766445416152507e-169,-2.2877628815647555e-168,,,,2.3324225423262624e-169,3678,4410,4530,4566,4566,4442,4518
-4.639769960749302,0.6402789365444844,19.157835192815934,0.1585,0.0332,0.00055,0.06319634330541582,7.954778921131904e-169,8.312250455260906e-169,-3.014797899635577e-168,,,,1.989365620644095e-169,3678,4410,4530,4566,4566,4442,4518
-4.641930611276774,0.639947557205322,19.168154919530114,0.1571,0.03404,0.00054,0.06343070455293143,1.3084463358817565e-168,1.444018058803101e-168,-3.7043195810447686e-168,,,,1.462267830143311e-169,3678,4410,4530,4566,4566,4442,4518
-4.643868669928997,0.6391633181793192,19.18031460411694,0.15307,0.0335,0.00053,0.06352306842394424,1.8433541930859946e-168,2.0900594363478264e-168,-4.3082952964666415e-168,,,,7.466670865519476e-170,3678,4410,4530,4566,4566,4442,4518
-4.645605942203002,0.6379526498825522,19.19436799042012,0.15578,0.03315,0.00054,0.06346642439494438,2.372820419395195e-168,2.73758628065286e-168,-4.774451953638799e-168,,,,-1.5161661157165096e-170,3678,4410,4530,4566,4566,4442,4518
-4.647176142838799,0.6363577068353843,19.210322187915757,0.15343,0.03439,0.00054,0.06326054719776315,2.8644850110832495e-168,3.3485988598441474e-168,-5.048545913876369e-168,,,,-1.2148347953409997e-169,3678,4410,4530,4566,4566,4442,4518
-4.648623184838096,0.6344342550017976,19.228129378402556,0.15562,0.03224,0.00054,0.06291235218814278,3.2819585240445684e-168,3.879900082608698e-168,-5.077188858761744e-168,,,,-2.4120507255733258e-169,3678,4410,4530,4566,4566,4442,4518
-4.649999138795609,0.6322489692682588,19.247682332645567,0.15409,0.03259,0.00054,0.06243590094918386,3.5861936656903353e-168,4.284643517954968e-168,-4.811170144465137e-168,,,,-3.698415510202155e-169,3678,4410,4530,4566,4566,4442,4518
-4.651361890561359,0.629876180501191,19.268815028059308,0.15507,0.03288,0.00054,0.06185202133865228,3.7372795689010536e-168,4.514396877227285e-168,-4.2091753131777642e-168,,,,-5.0151266897871055e-169,3678,4410,4530,4566,4566,4442,4518
-4.652772523396357,0.6273941709399907,19.291308832513057,0.15453,0.03289,0.00054,0.06118751132076701,3.696634482577438e-168,4.521698736423459e-168,-3.2417575839021666e-168,,,,-6.290203859361178e-169,3678,4410,4530,4566,4566,4442,4518
-4.654292483545381,0.6248812258509445,19.314903819225222,0.15635,0.03209,0.00054,0.06047392400888817,3.4295443579811497e-168,4.263052810332689e-168,-1.8953764686701102e-168,,,,-7.440193635862955e-169,3678,4410,4530,4566,4566,4442,4518
-4.655980626592598,0.6224117235230872,19.339313983711587,0.15548,0.03423,0.00054,0.05974597918727876,2.907964190211493e-168,3.702267437447781e-168,-1.7627771164270002e-169,,,,-8.372883071595016e-169,3678,4410,4530,4566,4566,4442,4518
