TIME,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,1.5714900555441274e-192,3.157832365703921e-191,2.5547575339767488e-191,,,,1.2731842591742254e-195,9.768852649383373e-194,1.268310985698781e-192,-7.201337504244803,4.176325625273912,96.32790748659887,0.28979,0.01164,0.0008,0.009439513379184828,-6.020356583719395e-05,-4.823599235269077,0.0,0.0,0.0,0.0,-0.0,0.0,96.68695216173231,0.0,2442,3324,3468,3516,3510
0.00093,1.1631866787800057e-191,1.3029751885803354e-191,-2.010102934520315e-191,,,,-9.862195613447196e-196,-7.717891015657161e-194,-1.0013175767342434e-192,-7.2026276631427795,4.186078058848526,96.38300406331395,0.29007,0.01149,0.0008,0.00946555724787745,-6.022784279095195e-05,-4.837119372504558,-0.0006570584770581357,0.0003814635876567712,0.008790797296716599,6.022909274444102e-196,-2.0348642780000783e-195,2.484523653610442e-196,96.74236180204323,0.0,2442,3324,3468,3516,3510
0.00185,2.310809705153783e-191,-1.2913767264448944e-191,-7.670905791152919e-191,,,,-3.789272661312129e-195,-2.9400432310133287e-193,-3.815579749451062e-192,-7.203708692434315,4.1963401558055295,96.4372627353487,0.28978,0.01136,0.0008,0.00948709417088115,-6.022790854500446e-05,-4.848343363238023,-0.0013071588114399076,0.0007597285920112501,0.01749200465627305,2.1699665356583717e-195,-2.0400982000233173e-195,-4.120199632186259e-195,96.79694382321868,0.0,2442,3324,3468,3516,3510
0.00278,3.4833966910511594e-191,-4.487912438439524e-191,-1.3972140819237996e-190,,,,-6.910713574432183e-195,-5.353343535251747e-193,-6.947954956595892e-192,-7.204829723122811,4.207615993446007,96.48921504241342,0.28982,0.01126,0.0008,0.009503397759624567,-6.0196516315653275e-05,-4.856895340049665,-0.0019644259040731693,0.0011430876576935829,0.02629263532982233,4.813080696383199e-195,5.962112418761831e-196,-1.3992999989215228e-194,96.84927580105386,0.0,2442,3324,3468,3516,3510
0.0037,4.525736269815872e-191,-8.02439356307931e-191,-2.0232223020152976e-190,,,,-1.0013248235651994e-194,-7.750580961121823e-193,-1.0059548922545145e-191,-7.206182103647553,4.22030188567154,96.5375944373102,0.29036,0.01127,0.0008,0.00951415065294744,-6.0128626123855045e-05,-4.862606109151718,-0.002614737223768009,0.0015234058799066413,0.03500316313440434,8.427282036304057e-195,6.2425144481215734e-195,-2.9428061215378804e-194,96.89812768190993,0.0,2442,3324,3468,3516,3510
0.00463,5.253944148983756e-191,-1.151242020286545e-190,-2.5569990172331307e-190,,,,-1.2660615887809018e-194,-9.794231525934708e-193,-1.2712278916905737e-191,-7.207902155037245,4.2346492295144245,96.5814013885852,0.28949,0.01144,0.0008,0.009519663997633999,-6.0022777063717147e-05,-4.865625742788961,-0.0032722572983543037,0.0019090911574525216,0.04381257580749629,1.2888429954545787e-194,1.515452509966376e-194,-5.0321427796328384e-194,96.94252524953446,0.0,2442,3324,3468,3516,3510
0.00556,5.472346295851356e-191,-1.445333374010099e-190,-2.896687836587587e-190,,,,-1.43483248310744e-194,-1.1094181910705303e-192,-1.439979556211609e-191,-7.210095794743432,4.250746629406666,96.61992411381043,0.28984,0.01107,0.0008,0.009521085499758417,-5.9882378090074847e-05,-4.866530875877984,-0.003929955901830474,0.0022961652176509955,0.052625744072276326,1.7781388235313998e-194,2.699919324705705e-194,-7.519923843305967e-194,96.98177181323959,0.0,2442,3324,3468,3516,3510
0.00648,4.997083380954397e-191,-1.627421101705673e-190,-2.936689280347504e-190,,,,-1.4553114567956407e-194,-1.124602943608241e-192,-1.4597192030981326e-191,-7.212879061509954,4.268521423767344,96.65270800452956,0.2896,0.01145,0.0008,0.009520555194279879,-5.9716713633786574e-05,-4.866405622243149,-0.004580807065193764,0.002680605707818526,0.061347364869248536,2.2505823071269362e-194,4.086530509417204e-194,-1.0152293601094096e-193,97.01542075417692,0.0,2442,3324,3468,3516,3510
0.00741,3.685185074093519e-191,-1.6385006048166602e-190,-2.581188368530515e-190,,,,-1.2799920294022371e-194,-9.88290076976452e-193,-1.282826066967848e-191,-7.216424589842752,4.287757966920225,96.67948087810535,0.28977,0.01123,0.0008,0.00952126238893799,-5.9541438231759256e-05,-4.866872004445949,-0.0052390213952056945,0.0030709132266438254,0.07016650266341326,2.6466370061066296e-194,5.576329684672965e-194,-1.2669356258794537e-193,97.0432051980133,0.0,2442,3324,3468,3516,3510
0.00833,1.466726773397824e-191,-1.4255278680977723e-190,-1.7603987370520443e-190,,,,-8.742318053518405e-195,-6.737669764479445e-193,-8.746248401303517e-192,-7.221001264354613,4.308128589616473,96.70005626407895,0.28994,0.01115,0.0008,0.009527359041817654,-5.937833665554118e-05,-4.870046731025031,-0.0058905246743022055,0.0034588112033941006,0.07889294765649148,2.879122180136524e-194,6.959003173360333e-194,-1.4628540856059724e-193,97.06494584905776,0.0,2442,3324,3468,3516,3510
