TIME,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,-7.944255390298586e-288,1.8996921602441113e-287,5.532327611645683e-287,,,,-5.198342853022965e-291,-4.0398005927159814e-289,5.243417748053486e-288,-4.637883474239472,-0.3299768934432196,108.06290761296098,0.33869,0.06281,0.0009,0.0024134753703814616,-9.875643182040357e-06,1.2353644333569949,0.0,0.0,0.0,0.0,-0.0,0.0,108.16289035356891,0.0,4134,5016,5148,5196,5190
0.00093,-6.3095975929732626e-288,1.7921226662910265e-287,4.9566881137241343e-287,,,,-3.245195790298161e-291,-2.5240747934957516e-289,3.276100629024206e-288,-4.6211556079117155,-0.3317442244013493,107.87423125022521,0.33874,0.06269,0.0009,0.0025003465046269154,-1.2081219926593902e-05,1.2792365628290625,-0.0004223649562909497,-3.018540137215678e-05,0.009850296494952535,-6.502108846114204e-292,-1.6840767103464012e-291,4.784721858363324e-291,107.97367689029592,0.0,4134,5016,5148,5196,5190
0.00185,-3.306953956561108e-288,1.4034452310032715e-287,3.5197865490665385e-287,,,,-2.534105721203079e-292,-2.0153526775099606e-290,2.6158849886834535e-289,-4.605031657215992,-0.3332877570618456,107.6842128413453,0.33878,0.06285,0.0009,0.002584952259066404,-1.4188906360630547e-05,1.321980907187294,-0.0008387058828171027,-6.0195634567664916e-05,0.01957758684302875,-1.0841673898357085e-291,-3.1261086796794263e-291,8.609815814694242e-291,107.783148462796,0.0,4134,5016,5148,5196,5190
0.00278,1.058999180976198e-288,7.029324441426306e-288,1.1616287573326267e-287,,,,3.674646293356426e-291,2.8485048488730375e-289,-3.697175380236959e-288,-4.589881296574168,-0.33455385421956024,107.48976921608562,0.33868,0.06256,0.0009,0.0026646555271975076,-1.6109484122130288e-05,1.3622740819668981,-0.0012581456295736714,-9.066023142868316e-05,0.02939307079555154,-1.1867112188561775e-291,-4.086964451862357e-291,1.0745313627937818e-290,107.58824016929249,0.0,4134,5016,5148,5196,5190
0.0037,6.592978416341955e-288,-3.0612180782491476e-288,-2.0679982980178235e-287,,,,8.27584151671927e-291,6.421882161617943e-289,-8.335199781111032e-288,-4.575964728581151,-0.3355171702381241,107.28838810893753,0.33864,0.06268,0.0009,0.0027373313688452802,-1.7775206886820428e-05,1.3990491679968953,-0.0016717635973048305,-0.00012089785647836064,0.03908514992300054,-8.414080777995984e-292,-4.266029219607089e-291,1.0336305309008216e-290,107.38645281404331,0.0,4134,5016,5148,5196,5190
0.00463,1.2878785055835537e-287,-1.576612500396514e-287,-5.983370645971063e-287,,,,1.3114370607626978e-290,1.0180312611252149e-288,-1.3213413051371135e-287,-4.5633869537294025,-0.33616942002412936,107.0783508570058,0.33845,0.06277,0.0009,0.002801491233124997,-1.9144844559921935e-05,1.4315578656695045,-0.0020886688333209497,-0.0001515378478230587,0.04886381027104048,4.6825620628985727e-293,-3.407191723897262e-291,6.663552594673528e-291,107.17607350815042,0.0,4134,5016,5148,5196,5190
0.00556,1.927052665679022e-287,-3.010965063156406e-287,-1.024765865300246e-286,,,,1.7590231050432383e-290,1.3657942008783664e-288,-1.772716525425325e-287,-4.552069208586176,-0.3365073089897694,106.85886168711413,0.33854,0.06264,0.0009,0.002856292917456022,-2.0204406881667348e-05,1.4593751636674823,-0.0025044840393492183,-0.0001822230058321212,0.05862287712705933,1.5133646983679792e-291,-1.3144994046191438e-291,-7.40474885492731e-292,106.95630365861822,0.0,4134,5016,5148,5196,5190
0.00648,2.4913071206937313e-287,-4.459475616473622e-287,-1.4374159958251902e-286,,,,2.097303475831923e-290,1.6287573584556458e-288,-2.114026986288096e-287,-4.541745647776246,-0.33652018691260266,106.63006453720389,0.33838,0.06269,0.0009,0.0029014579544734995,-2.0963995904319355e-05,1.4823574058211615,-0.0029148515285574287,-0.00021259404461221163,0.0682567784118579,3.507193735566548e-291,2.0566116564707025e-291,-1.1851316752007373e-290,106.72727562611894,0.0,4134,5016,5148,5196,5190
0.00741,2.8797699987882346e-287,-5.725385747713025e-287,-1.7748702931242025e-286,,,,2.246409935442386e-290,1.7448859292815424e-288,-2.2647553064091324e-287,-4.531987874413799,-0.33617733691874363,106.39294468735088,0.33857,0.06291,0.0009,0.00293713533351866,-2.1451828102069584e-05,1.5005733849877811,-0.003328763493772411,-0.00024328015120806426,0.0779741425121498,5.95729112977504e-291,6.702588940664904e-291,-2.6504642501993376e-290,106.48995543496764,0.0,4134,5016,5148,5196,5190
0.00833,2.9855837263413376e-287,-6.57801594867653e-287,-1.967648793002756e-286,,,,2.1286718694320852e-290,1.653838225662153e-288,-2.1465816429932572e-287,-4.5222533540222,-0.335414904446892,106.14913690989553,0.33851,0.06304,0.0009,0.002963749445486836,-2.170674349782199e-05,1.5142276609082312,-0.0037373451834468146,-0.00027358642269192994,0.08756531648630715,8.604090651777012e-291,1.2254621990177658e-290,-4.33931341300499e-290,106.24595307714941,0.0,4134,5016,5148,5196,5190
