REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,TIME,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
-12.003118461223073,11.136543433889525,83.42452712717595,0.07475,0.04273,0.00038,1.7864216969740465,1.3078701185192813e-41,-5.342540061126514e-41,-1.8853660893186439e-41,,,,-1.5465008960984329e-43,0.21216946880087717,-0.8885661446303145,-3.812273965588887,0.0,-0.0,0.0,0.0,85.01617010217514,5.814453013174156e-41,396,1062,1230,1272,1284,1091,1202
-11.888817164443239,11.548478511133126,84.55361705917811,0.07439,0.04282,0.00038,1.7985927044071217,1.4139238468498699e-41,-5.686214064640411e-41,-3.854004208140379e-41,,,,-5.687182938889205e-43,0.2110841247876801,-0.8875356273401698,-3.804643186902845,1.2364351016816841e-45,5.010055464306775e-45,-2.6072358847210243e-45,0.001,86.16278481619428,7.013241723337997e-41,396,1062,1230,1272,1284,1091,1202
-11.774301358567532,11.959130957519173,85.67157210816845,0.07354,0.04264,0.00038,1.810908668171013,1.4569053631272027e-41,-5.760202726237756e-41,-5.975870750818732e-41,,,,-1.0293187718444328e-42,0.2100091752974039,-0.8864677421925985,-3.796910331229166,2.540572759165e-45,1.0209843430917566e-44,-7.072673974099117e-45,0.002,87.29990408486464,8.426953181011303e-41,396,1062,1230,1272,1284,1091,1202
-11.658600299254685,12.369209445512858,86.77328428252723,0.07342,0.04212,0.00038,1.8234834466411938,1.4220630414824664e-41,-5.507922637191813e-41,-8.155166482348452e-41,,,,-1.5182251130824212e-42,0.20894468391735718,-0.8853625735272734,-3.7890766422630358,3.848407825809776e-45,1.5328638573666142e-44,-1.349201014743398e-44,0.003,88.42241326960621,9.943149170462044e-41,396,1062,1230,1272,1284,1091,1202
-11.54074453403663,12.779698013823252,87.8546756943118,0.07323,0.04185,0.00038,1.836443004552831,1.2963910871783487e-41,-4.88112815679048e-41,-1.0274150625734467e-40,,,,-2.0120087602120368e-42,0.20789080237257945,-0.8842201287887184,-3.7811437809885367,5.0833257328056707e-45,2.004809465236734e-44,-2.1863935011102346e-44,0.004,89.52627271967215,1.1448327957138903e-40,396,1062,1230,1272,1284,1091,1202
-11.41983122906037,13.191756233032988,88.91275225863922,0.07245,0.04166,0.00038,1.8499184924080003,1.0697365266471309e-41,-3.8443782198763796e-41,-1.219585502193204e-40,,,,-2.4824172176128216e-42,0.20684776744085698,-0.8830403180432648,-3.7731137296497543,6.158191528679885e-45,2.4011848889949774e-44,-3.207143200435563e-44,0.005,90.60856743166255,1.2832087119790293e-40,396,1062,1230,1272,1284,1091,1202
-11.295082938740366,13.606614906347577,89.94561297104833,0.07202,0.04149,0.00038,1.8640387374871386,7.35951817387089e-42,-2.379610761084042e-41,-1.3768460612511146e-40,,,,-2.897110710225568e-42,0.2058158922303854,-0.8818229427692282,-3.764988692861035,6.978465392046533e-45,2.6839233529071693e-44,-4.3866296586331444e-44,0.006,91.6675087505943,1.3991950546298152e-40,396,1062,1230,1272,1284,1091,1202
-11.16589630888254,14.025472474347676,90.95241434754453,0.07067,0.04137,0.00037,1.8789223794720296,2.9403375717850926e-42,-4.905751104256122e-42,-1.4831399280285222e-40,,,,-3.220783127405886e-42,0.2047955525752441,-0.880567694091153,-3.7567709999111814,7.446359117590141e-45,2.814307893582865e-44,-5.685841543315075e-44,0.006,92.70238828723252,1.4842423131031354e-40,396,1062,1230,1272,1284,1091,1202
-11.031877921910281,14.449397524117087,91.93329350752867,0.0709,0.04117,0.00037,1.8946699254258186,-2.5082130172183166e-42,1.7931672161919912e-41,-1.5223154268315613e-40,,,,-3.416675366095132e-42,0.20378716959007442,-0.8792741601488383,-3.748463012177171,7.465989331131763e-45,2.755134766474966e-44,-7.051136104390416e-44,0.007,93.71348822040137,1.5330452891795435e-40,396,1062,1230,1272,1284,1091,1202
-10.892865451767163,14.879242844021055,92.88925686250225,0.07048,0.04095,0.00037,1.9113560678429327,-8.863245292381165e-42,4.4129934470618227e-41,-1.4790626778997422e-40,,,,-3.448467556416243e-42,0.20279118963540135,-0.8779418417993542,-3.7400670390885598,6.949415689254659e-45,2.473206193322209e-44,-8.414578484425716e-44,0.008,94.70195576559956,1.546035972578049e-40,396,1062,1230,1272,1284,1091,1202
-10.748933376918314,15.315576019268004,93.82204343519977,0.07044,0.04074,0.00037,1.929022687325944,-1.5924482002174997e-41,7.279059844184692e-41,-1.3399818117945556e-40,,,,-3.282511633300394e-42,0.201808063062421,-0.8765701753761601,-3.731585265357483,5.823378358440546e-45,1.9420688154028138e-44,-9.695191787493134e-44,0.009,95.66965178101108,1.5332179528026016e-40,396,1062,1230,1272,1284,1091,1202
-10.60038362815583,15.758630523493483,94.73397224657604,0.0692,0.04026,0.00037,1.9476730274693888,-2.341111726233314e-41,1.0269569942505573e-40,-1.09474504405274e-40,,,,-2.8903381333063046e-42,0.20083822312310642,-0.8751585608228459,-3.723019691350467,4.036471770537749e-45,1.1448834982644605e-44,-1.0801220306139068e-43,0.01,96.61898398687028,1.519182484320184e-40,396,1062,1230,1272,1284,1091,1202
-10.447722664639747,16.20827975062672,95.6277823971807,0.06941,0.04053,0.00037,1.967267568048337,-3.0962830599641687e-41,1.3231790444568443e-40,-7.373020688214797e-41,,,,-2.2513420808860778e-42,0.1998820663465295,-0.8737063932283061,-3.714372087657682,1.566414940044441e-45,7.728222904389788e-46,-1.1633468223179712e-43,0.011,97.55273449552475,1.5460552423029302e-40,396,1062,1230,1272,1284,1091,1202
-10.291627434955744,16.664034767106138,96.50647316916542,0.06868,0.04014,0.00037,1.9877221218065098,-3.8145698885172853e-41,1.5985093032041664e-40,-2.6706588448423075e-41,,,,-1.355523821663665e-42,0.19893993550284794,-0.8722130956436841,-3.7056439641905743,-1.5729928464313896e-45,-1.2499593164903848e-44,-1.208972457772819e-43,0.012,98.47389000912933,1.6649521354770058e-40,396,1062,1230,1272,1284,1091,1202
-10.132903295782455,17.125065130183916,97.37315034794591,0.06813,0.04006,0.00037,2.00890862050922,-4.446360477883986e-41,1.8326234434922021e-40,3.0999485302208933e-41,,,,-2.061333785383382e-43,0.19801210602522487,-0.8706781510557101,-3.6968365535243937,-5.325703157177244e-45,-2.8086272467315675e-44,-1.2070223144388802e-43,0.013,99.38548180493164,1.911100915579889e-40,396,1062,1230,1272,1284,1091,1202
-9.972437147028453,17.590241102104823,98.23088421587552,0.06877,0.04009,0.00037,2.030658912777545,-4.937553119418629e-41,2.0036995861561574e-40,9.804396338019814e-41,,,,1.1779567033332188e-42,0.19709877647232538,-0.8691011314966485,-3.6879508076728533,-9.588553435515403e-45,-4.551361823852187e-44,-1.1484014740582059e-43,0.014,100.29044171063539,2.2847030912490415e-40,396,1062,1230,1272,1284,1091,1202
-9.811148904782362,18.058194817468127,99.08258396044876,0.06828,0.03969,0.00037,2.0527716604594644,-5.231885866594821e-41,2.0894186831586183e-40,1.7227043301827133e-40,,,,2.7603428875122548e-42,0.19620006332420206,-0.8674817224579106,-3.678987407019025,-1.4208245993696177e-44,-6.410751317659435e-44,-1.0256051814477055e-43,0.015,101.191479321022,2.758098428260549e-40,396,1062,1230,1272,1284,1091,1202
-9.649944145671734,18.527397082069673,99.93089209819675,0.06775,0.03925,0.00037,2.0750221155600825,-5.273845018753746e-41,2.0681879626226924e-40,2.5068035949966785e-40,,,,4.4858492970180864e-42,0.19531600013386388,-0.8658197410362471,-3.6699467797475473,-1.8980706584299558e-44,-8.299436082647462e-44,-8.334704303214053e-44,0.016,102.09098422580081,3.2923547994473518e-40,396,1062,1230,1272,1284,1091,1202
-9.489670439006595,18.99624532347381,100.77810083826299,0.06766,0.03912,0.00037,2.0971742391973613,-5.012092417526687e-41,1.9205582777856135e-40,3.294473581195903e-40,,,,6.280156032147034e-42,0.19444654081378837,-0.8641151465958347,-3.6608291298722317,-2.3653321139896136e-44,-1.0111412274119686e-43,-5.6993458497477e-44,0.017,102.99095489409572,3.846207350051071e-40,396,1062,1230,1272,1284,1091,1202
-9.331079603024373,19.463156939700095,101.62609040335258,0.06702,0.03927,0.00037,2.118994351062676,-4.40330934226262e-41,1.6307890921176497e-40,4.039831786104958e-40,,,,8.050487491828487e-42,0.19359156662073668,-0.8623680431944414,-3.6516344718649467,-2.7930475612409663e-44,-1.1724690355518392e-43,-2.3675754373045866e-44,0.018,103.89295344385857,4.378767549737078e-40,396,1062,1230,1272,1284,1091,1202
-9.174797866646186,19.926661343610096,102.47628773675291,0.0667,0.03881,0.00037,2.140265324516871,-3.416310370295147e-41,1.1884971463369517e-40,4.690615115207915e-40,,,,9.687525205899706e-42,0.19275089621063027,-0.8605786735877032,-3.6423626699622296,-3.1482710798990787e-44,-1.300541347830649e-43,1.598423142858796e-44,0.019,104.79808345815545,4.8508872787697204e-40,396,1062,1230,1272,1284,1091,1202
