TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,-5.682239555754478,5.050649941027181,101.70459077484982,0.10624,0.04589,0.00044,-0.0064148980132751904,3.98791821943396e-05,3.2797708906717493,-5.440298914480931e-234,-3.47386911425303e-234,6.596639897010173e-234,,,,-2.98893568092394e-237,-2.322868647594507e-235,3.014998586234513e-234,0.0,0.0,0.0,0.0,-0.0,0.0,101.98833607759,0.0,3228,4080,4206,4248,4242
0.00093,-5.68968630822908,5.048926098327943,101.6338523690679,0.10561,0.04558,0.00044,-0.006366643191527608,3.989305465680403e-05,3.254768328049588,-2.384087564674083e-234,-3.548390304082851e-234,4.452953443677181e-234,,,,-2.902927681041665e-237,-2.2563838065986693e-235,2.928716864600608e-234,-0.000518747456174406,0.000460707310399243,0.009275588091674523,-3.569211258263748e-238,3.2033089675651876e-238,5.040437746254647e-238,101.91812465116259,0.0,3228,4080,4206,4248,4242
0.00185,-5.697189795549908,5.047902205155609,101.56402185171082,0.10597,0.04587,0.00044,-0.006321300552616435,3.992630330664748e-05,3.231272832013083,1.9234931072146823e-234,-3.1529150383692253e-234,1.0456285046673723e-234,,,,-2.3881496094292206e-237,-1.8567357699472105e-235,2.4100036338549484e-234,-0.0010325916272335366,0.0009163367844222418,0.018445095363761384,-3.777059113136877e-238,6.227340016400112e-238,7.52172783626461e-238,101.84885773995762,0.0,3228,4080,4206,4248,4242
0.00278,-5.704852848569621,5.048122980408887,101.49604811119859,0.10578,0.04582,0.00044,-0.006280326809161391,3.998007299982074e-05,3.210045003476782,7.261545009155669e-234,-2.2007674770760514e-234,-3.5330687057725364e-234,,,,-1.3868994199645723e-237,-1.079040957263546e-235,1.4006001670208932e-234,-0.001552712905509015,0.0013768821172995445,0.02770798504522444,4.12833799217204e-239,8.669502601058207e-238,6.387044676927473e-238,101.78151440138775,0.0,3228,4080,4206,4248,4242
0.0037,-5.712749203190009,5.049986538831743,101.43075122667861,0.10649,0.04598,0.00044,-0.0062447368201698356,4.0052885238722836e-05,3.1916161663812277,1.3199629516309703e-233,-6.564200237801733e-235,-9.000520321088831e-234,,,,1.083923002919898e-238,8.2637900641007e-237,-1.0720191206699335e-235,-0.00206794361569672,0.0018325694074647972,0.036865259792145486,9.646143415578711e-238,9.958837032694588e-238,7.3113729266601045e-239,101.7169364555839,0.0,3228,4080,4206,4248,4242
0.00463,-5.720911072333354,5.053699543144945,101.3687612751392,0.10618,0.0458,0.00044,-0.006214990699390416,4.013997685643128e-05,3.1762298342470054,1.9094391207346623e-233,1.4441707205808078e-234,-1.4865645706225137e-233,,,,2.0390122775355572e-237,1.582737452865627e-235,-2.0542654765734362e-234,-0.0025895071796551315,0.0022934642036232865,0.04611626375418465,2.4377545378985392e-237,9.599492736088526e-238,-1.0155772333183659e-237,101.65576454400455,0.0,3228,4080,4206,4248,4242
0.00556,-5.729323922229474,5.059256931145822,101.31049397664508,0.10602,0.04577,0.00044,-0.0061909341014808736,4.023285948186478e-05,3.16381092115398,2.4114713052947723e-233,3.977023462869969e-234,-2.043426563979189e-233,,,,4.268148858880404e-237,3.315005353590595e-235,-4.30268151008277e-234,-0.0031118268242846065,0.0027547818826327715,0.055361782001377674,4.408802642388257e-237,7.126533691394703e-238,-2.6258356392339516e-237,101.59841250281924,0.0,3228,4080,4206,4248,4242
0.00648,-5.737929565840017,5.066450804353509,101.25614515462316,0.10631,0.04568,0.00044,-0.006171808971901776,4.031921406416062e-05,3.1539713979238977,2.7300505509855402e-233,6.720825817614758e-234,-2.4844267945783875e-233,,,,6.576355927566892e-237,5.108966768310047e-235,-6.631182456317187e-234,-0.0036292981051872304,0.003211714569904914,0.06450280415881528,6.72896579525331e-237,2.2990222250831655e-238,-4.6690747458166433e-237,101.54506236656508,0.0,3228,4080,4206,4248,4242
0.00741,-5.746636261287388,5.074908314004057,101.20568528898498,0.10594,0.04573,0.00044,-0.006156343458233706,4.038321899687934e-05,3.1460567168633946,2.765710111882997e-233,9.358332389393016e-234,-2.7134670303780525e-233,,,,8.667118502568195e-237,6.734239343893792e-235,-8.740742509769092e-234,-0.004153183802240388,0.003674327878127472,0.07373840424724613,9.235939458030738e-237,-5.035726978416538e-238,-7.040171982477899e-237,101.49566127440208,0.0,3228,4080,4206,4248,4242
0.00833,-5.755332272629122,5.084152324455332,101.15884527213507,0.1056,0.0457,0.00044,-0.006142915750553475,4.040637584983588e-05,3.1392302800950995,2.428287874322751e-233,1.149149742447568e-233,-2.634920535687151e-233,,,,1.0184790187552282e-236,7.914461715028826e-235,-1.0272655876453105e-233,-0.004672221634301905,0.004132765648498591,0.08287030605334725,1.1579782989285945e-236,-1.4444421180222934e-237,-9.453685355540485e-237,101.44991094731623,0.0,3228,4080,4206,4248,4242
