REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,TIME,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
-3.3047082442735243,5.139146579358154,102.96227318001067,0.09713,0.05382,0.00043,0.5560739273076568,1.4027202109197446e-172,7.776514662679584e-172,4.032505463613193e-172,,,,-1.041435201352248e-173,0.0,103.14340319447987,0.0,3594,4458,4608,4644,4644,4488,4548
-3.3233137648832853,5.152532240510016,102.93692579418403,0.09701,0.05368,0.00042,0.556985710996919,6.3418654799887016e-173,8.58140512894447e-172,6.369700012599891e-172,,,,1.8302170156274445e-175,0.001,103.1193662452728,0.0,3594,4458,4608,4644,4644,4488,4548
-3.341646657534674,5.16580143091472,102.91191838048152,0.09711,0.05381,0.00043,0.5579096113067709,-3.206265814326092e-173,9.034709097090093e-172,8.782722703873549e-172,,,,1.2821126393696226e-173,0.002,103.09565971251332,0.0,3594,4458,4608,4644,4644,4488,4548
-3.3596204802522704,5.178736124729518,102.887493410085,0.09766,0.05364,0.00043,0.5588012327002676,-1.4413244580391133e-172,9.041559504958911e-172,1.1143574696969835e-171,,,,2.7147756125174185e-173,0.003,103.07251164996026,0.0,3594,4458,4608,4644,4644,4488,4548
-3.3771570654231065,5.191131898480968,102.86385466064428,0.09766,0.05352,0.00043,0.5596176259619087,-2.69375561520746e-172,8.515122049922503e-172,1.3302562545115742e-171,,,,4.264268118377264e-173,0.004,103.05011225553378,0.0,3594,4458,4608,4644,4644,4488,4548
-3.3941864489273232,5.202804867520009,102.84115971708032,0.09698,0.05366,0.00042,0.560318931798407,-4.0293679866915947e-172,7.383284640115205e-172,1.5092949473711287e-171,,,,5.861588065933763e-173,0.005,103.02860676575993,0.0,3594,4458,4608,4644,4644,4488,4548
-3.4106470809966254,5.213596911444955,102.8195147663125,0.09674,0.05356,0.00042,0.5608696799090578,-5.385291896595264e-172,5.595771358534882e-172,1.6337514849735113e-171,,,,7.421547236603171e-173,0.006,103.0080905708192,0.0,3594,4458,4608,4644,4644,4488,4548
-3.4264866055274243,5.223378980199442,102.79897211049409,0.09668,0.05366,0.00042,0.5612396634422578,-6.685285694519889e-172,3.1313424835720504e-172,1.6857003398329448e-171,,,,8.844674854140125e-173,0.006,102.98860696893996,0.0,3594,4458,4608,4644,4644,4488,4548
-3.441663430694124,5.232052517806456,102.77953102514775,0.09715,0.05357,0.00043,0.5614043572856012,-7.84165512193404e-172,4.6714991270901815e-175,1.6480330414327703e-171,,,,1.002033417444209e-172,0.007,102.9701481909615,0.0,3594,4458,4608,4644,4644,4488,4548
-3.4561491156419453,5.239549260226314,102.76114243697799,0.09684,0.05352,0.00042,0.5613449118078627,-8.758221425759431e-172,-3.7275700649243733e-172,1.5056279493918441e-171,,,,1.0831102645253311e-172,0.008,102.95266017987475,0.0,3594,4458,4608,4644,4644,4488,4548
-3.46993134055629,5.245829767695144,102.7437173256491,0.09745,0.05351,0.00043,0.5610478083147995,-9.3343657466943e-172,-7.961933106194418e-172,1.2466290054864714e-171,,,,1.115840125876019e-172,0.009,102.93605103826695,0.0,3594,4458,4608,4644,4644,4488,4548
-3.4830169974827676,5.250881026402245,102.72713808970177,0.09645,0.05366,0.00042,0.5605042921224597,-9.47011900033345e-172,-1.2545252040118163e-171,8.637789511032335e-172,,,,1.0889282073887681e-172,0.01,102.92020238543472,0.0,3594,4458,4608,4644,4644,4488,4548
-3.495434796677518,5.254713390372828,102.7112717083645,0.09636,0.0536,0.00042,0.559709705021849,-9.072198691605041e-172,-1.727407660681356e-171,3.557387229467855e-172,,,,9.924196783003876e-173,0.011,102.90498245071649,0.0,3594,4458,4608,4644,4644,4488,4548
-3.5072367693229785,5.25735711754484,102.69598341972855,0.09745,0.05336,0.00043,0.5586628277373785,-8.060819032081281e-172,-2.1896966939508554e-171,-2.716876626747659e-172,,,,8.18547690022952e-173,0.012,102.89025961752964,0.0,3594,4458,4608,4644,4644,4488,4548
-3.5184981781808684,5.258858772944574,102.68114964156605,0.09626,0.05339,0.00042,0.5573653195147448,-6.377021392229748e-172,-2.612007049128746e-171,-1.0045134591131775e-171,,,,5.6261619136729234e-173,0.013,102.8759151441061,0.0,3594,4458,4608,4644,4644,4488,4548
-3.529315591168013,5.259277761596415,102.6666689301273,0.09654,0.05338,0.00042,0.5558213119501063,-3.9901923818027733e-172,-2.9616286401910545e-171,-1.8198121046907207e-171,,,,2.2387207685812138e-173,0.014,102.86185386392786,0.0,3594,4458,4608,4644,4644,4488,4548
-3.539803159382677,5.258683177518716,102.65247003004725,0.09678,0.05353,0.00042,0.5540371798947712,-9.053613484519029e-173,-3.2038169924215695e-171,-2.685342171509007e-171,,,,-1.9368696571292078e-173,0.015,102.84801193235795,0.0,3594,4458,4608,4644,4644,4488,4548
-3.5500873964019526,5.257151027615911,102.63851650820209,0.09623,0.05344,0.00042,0.552021470802233,2.8301968983057977e-172,-3.3034537931135456e-171,-3.55965048210263e-171,,,,-6.80629123355263e-173,0.016,102.83436112726974,0.0,3594,4458,4608,4644,4644,4488,4548
-3.5603009269629675,5.254761765183424,102.62480786994401,0.09673,0.05341,0.00042,0.5497849298443593,7.121579048966464e-172,-3.227051013897598e-171,-4.392739865640489e-171,,,,-1.2215941510384025e-172,0.017,102.82090961590589,0.0,3594,4458,4608,4644,4644,4488,4548
-3.5705757469839834,5.251598015221524,102.61137731353456,0.09684,0.05318,0.00042,0.5473405300589164,1.1822644352655557e-171,-2.9450466161719416e-171,-5.127371379192207e-171,,,,-1.7950539110699982e-172,0.018,102.8076993569012,0.0,3594,4458,4608,4644,4644,4488,4548
-3.5810365349228426,5.247742433474493,102.59828651583614,0.09561,0.05331,0.00042,0.5447034238780001,1.6734736612439665e-171,-2.4343125457399415e-171,-5.70104682216573e-171,,,,-2.373391253498138e-172,0.019,102.79480054603027,0.0,3594,4458,4608,4644,4644,4488,4548
-3.5917945066950145,5.243275792290028,102.58561819054448,0.09586,0.05332,0.00042,0.5418907764370275,2.160826393147964e-171,-1.6807678198541336e-171,-6.048686019187522e-171,,,,-2.9233542013114974e-172,0.019,102.78230386768196,0.0,3594,4458,4608,4644,4644,4488,4548
-3.60294222933113,5.238275544429987,102.5734675042425,0.09637,0.05335,0.00042,0.5389215011008511,2.6147596035899485e-171,-6.819625436058365e-172,-6.105975068344283e-171,,,,-3.4069312406492795e-172,0.02,102.7703116626157,0.0,3594,4458,4608,4644,4644,4488,4548
-3.6145496984635432,5.232815182739223,102.5619334902371,0.09592,0.05315,0.00042,0.5358159642480901,3.001963185484568e-171,5.505255612138868e-172,-5.81331747046111e-171,,,,-3.7826774834107036e-172,0.021,102.7589291765693,0.0,3594,4458,4608,4644,4644,4488,4548
-3.6266618287441097,5.226964647414222,102.55111127661687,0.0961,0.0532,0.00042,0.5325957433028815,3.286624129698602e-171,1.9890601138262713e-171,-5.120271227136524e-171,,,,-4.007500572925023e-172,0.022,102.74825672250816,0.0,3594,4458,4608,4644,4644,4488,4548
-3.6392973207224864,5.220791861074309,102.5410855089936,0.09617,0.05305,0.00042,0.5292835098195485,3.432059556793097e-171,3.588471366069852e-171,-3.9903036275134224e-171,,,,-4.0388897366932914e-172,0.023,102.73838313896134,0.0,3594,4458,4608,4644,4644,4488,4548
