REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,TIME,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
0.00012917138068720276,8.766034861261775e-05,-0.00016117358006348108,,,,-4.800965787087706e-05,8.873846784400239e-207,8.067277370626593e-207,-1.6520183373566985e-206,,,,-6.14758014184859e-208,0.0,0.00022438026922615828,0.0,4464,5370,5520,5556,5556,5400,5521
0.00012085086600853859,8.201374784480952e-05,-0.00015079165852950464,,,,-4.49171379883289e-05,9.391512144529128e-207,9.965216785390582e-207,-1.784403580307263e-206,,,,-5.840308008467535e-208,0.001,0.0002099269180754209,0.0,4464,5370,5520,5556,5556,5400,5521
0.00010377314919730596,7.042419448388078e-05,-0.00012948293872538103,,,,-3.856979280273095e-05,9.454086473632083e-207,1.1641351054691923e-206,-1.836908228439645e-206,,,,-5.1282220812016965e-208,0.002,0.0001802616572762787,0.0,4464,5370,5520,5556,5556,5400,5521
7.725255776717637e-05,5.2426366499007855e-05,-9.639187286037903e-05,,,,-2.8712775603418586e-05,8.969768462220157e-207,1.2953633429903692e-206,-1.7909636209438663e-206,,,,-3.975058770044818e-208,0.003,0.00013419342286189248,0.0,4464,5370,5520,5556,5556,5400,5521
4.102900408233346e-05,2.7843759058360035e-05,-5.119393660742387e-05,,,,-1.5249418549995526e-05,7.86132185796888e-207,1.3754032260035035e-206,-1.6302275361901524e-206,,,,-2.3636144451641314e-208,0.004,7.127042331748195e-05,0.0,4464,5370,5520,5556,5556,5400,5521
-4.634245976302883e-06,-3.1449661347007073e-06,5.782380051333462e-06,,,,1.7224292457246264e-06,6.0734619903747445e-207,1.3896125262949672e-206,-1.3419815009922466e-206,,,,-3.0045249272560715e-209,0.005,8.050028994690201e-06,0.0,4464,5370,5520,5556,5556,5400,5521
-5.886482070800872e-05,-3.994778624200119e-05,7.344857539512748e-05,,,,2.1878529808850633e-05,3.580374293180521e-207,1.3244068817111075e-206,-9.185843390359041e-207,,,,2.179883695641252e-208,0.006,0.00010225255972442136,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00012011490258837386,-8.151429657593484e-05,0.00014987336022996705,,,,4.46435994395562e-05,3.929458189986362e-208,1.1682678124060316e-206,-3.589068996824842e-207,,,,5.011496554216183e-208,0.006,0.00020864849502621742,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00018612198023393848,-0.00012630907546988418,0.00023223368615560646,,,,6.917672123449239e-05,-3.4347734046646757e-207,9.128237270751235e-207,3.303405095480488e-207,,,,8.094960892893916e-208,0.007,0.0003233076848107391,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00025390425651940777,-0.00017230856806127234,0.0003168090160441623,,,,9.436963840284311e-05,-7.800410323934259e-207,5.539541310558315e-207,1.1334872475013344e-206,,,,1.1296712126001616e-207,0.008,0.00044105052630381207,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00031979769185891074,-0.00021702622519564226,0.00039902754479138175,,,,0.0001188605222948944,-1.2549967138282273e-206,9.285623776946019e-208,2.0250942841401712e-206,,,,1.445033467987361e-207,0.009,0.0005555123109735685,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00037954055046221264,-0.0002575698795594665,0.0004735716919011635,,,,0.00014106539605651135,-1.7476932892869982e-206,-4.629963620154645e-207,2.969567303715277e-206,,,,1.7360042254446444e-207,0.01,0.0006592900876485009,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00042840964400216294,-0.0002907342055371307,0.0005345480995108687,,,,0.00015922877287289204,-2.23243281085771e-206,-1.0990805543932901e-206,3.921295375337011e-206,,,,1.9806568478664078e-207,0.011,0.0007441793278733616,0.0,4464,5370,5520,5556,5556,5400,5521
-0.0004614102216762655,-0.0003131295854420348,0.0005757245677006674,,,,0.00017149423318807641,-2.6790129362528797e-206,-1.7933177105869143e-206,4.8254087365126227e-206,,,,2.1555586283729093e-207,0.012,0.0008015037790307427,0.0,4464,5370,5520,5556,5556,5400,5521
-0.0004735186601159111,-0.0003213468076249118,0.0005908328708086386,,,,0.00017599462626080944,-3.0536407398612635e-206,-2.515916486346939e-206,5.61923073752923e-206,,,,2.2368647705321116e-207,0.013,0.0008225370347143448,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00045997381977842534,-0.0003121547914091926,0.0005739322973459663,,,,0.00017096035979205967,-3.320235734982324e-206,-3.2296412302358494e-206,6.234472478428982e-206,,,,2.2016485192017422e-207,0.014,0.0007990086423926155,0.0,4464,5370,5520,5556,5556,5400,5521
-0.00041660925556674016,-0.0002827260371758338,0.0005198241657714303,,,,0.00015484287401120388,-3.4421204091237474e-206,-3.8905725241257395e-206,6.600184151302263e-206,,,,2.029434509881663e-207,0.015,0.0007236811778960317,0.0,4464,5370,5520,5556,5556,5400,5521
-0.0003402145400682432,-0.0002308818333194628,0.0004245026655341794,,,,0.00012644893616901474,-3.384073332427966e-206,-4.4494101584847186e-206,6.646435070492026e-206,,,,1.7038840131071954e-207,0.016,0.0005909778906832521,0.0,4464,5370,5520,5556,5556,5400,5521
