TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,8.563381806520591e-07,5.811419143074857e-07,-1.0684958973618532e-06,,,,5.3147165413776345e-09,-3.3664079438687224e-11,-2.7164134820446703e-06,8.645169553455622e-308,3.389729291182803e-308,-1.9252427711710512e-307,,,,-2.849630345411e-311,-2.216862383084217e-309,2.8773983785572156e-308,0.0,0.0,0.0,0.0,-0.0,0.0,1.4875229365917554e-06,0.0,4464,5370,5520,5562,5556
0.00093,3.7925363140382756e-06,2.5737516595853187e-06,-4.73213688668886e-06,,,,2.3537728361765497e-08,-1.4909091598904775e-10,-1.2030406920257694e-05,7.171770799801766e-308,2.5252444304391783e-308,-1.8960404050507612e-307,,,,-2.517567730978e-311,-1.959646439641795e-309,2.543530442128192e-308,2.1206538338704166e-10,1.4391520271348114e-10,-2.646045653936494e-10,7.21513459624e-312,-2.698203987723e-312,-1.743135640081e-311,6.5879168796273185e-06,0.0,4464,5370,5520,5562,5556
0.00185,7.086772250630385e-06,4.809338746117377e-06,-8.842519516724161e-06,,,,4.398284060711431e-08,-2.785928146135836e-10,-2.2480141748594892e-05,4.259304794393041e-308,1.049932482325731e-308,-1.5949121086011228e-307,,,,-1.7361050407377e-311,-1.35300138544091e-309,1.7561156038614557e-308,7.030050616762796e-10,4.77084540361221e-10,-8.771745102540654e-10,1.237352176888e-311,-4.31153832138e-312,-3.3184628713916e-311,1.2310249043413314e-05,0.0,4464,5370,5520,5562,5556
0.00278,1.0389714151832162e-05,7.050834013615104e-06,-1.2963765013414402e-05,,,,6.448198493367259e-08,-4.084369591998541e-10,-3.29574930025152e-05,-1.21476073275434e-309,-1.015440997033244e-308,-9.817460526770503e-308,,,,-4.783368205684e-312,-3.7587128411065e-310,4.87825448795894e-309,1.5002212036542122e-09,1.0181041110555577e-09,-1.8719008885231312e-09,1.426105440745e-311,-4.32727212977e-312,-4.493844141531e-311,1.8047704113469958e-05,0.0,4464,5370,5520,5562,5556
0.0037,1.3245605880050435e-05,8.988944941620749e-06,-1.6527203692027488e-05,,,,8.220658877743681e-08,-5.207068172759444e-10,-4.2016744322927876e-05,-5.804857463014951e-308,-3.5619679317762655e-308,-4.76532771288326e-309,,,,1.2246449522914e-311,9.4772618755341e-310,-1.2301642093746747e-308,2.5667886554129466e-09,1.741915176189531e-09,-3.2027103423249022e-09,1.158673713586e-311,-2.26167057655e-312,-4.958370883099e-311,2.300859987419667e-05,0.0,4464,5370,5520,5562,5556
0.00463,1.5123462131911064e-05,1.0263325789813853e-05,-1.887029868216215e-05,,,,9.386118261616461e-08,-5.945284726281261e-10,-4.797354288119369e-05,-1.2394439637651885e-307,-6.381163992938174e-308,1.1743946116214453e-307,,,,3.270597381595e-311,2.538457046913377e-309,-3.29487883178297e-308,3.860886246380588e-09,2.620136384010017e-09,-4.817420509377123e-09,3.284854773936e-312,2.274038197886e-312,-4.44439092225e-311,2.6270575469091207e-05,0.0,4464,5370,5520,5562,5556
0.00556,1.546809953192833e-05,1.049720913510051e-05,-1.930031997084863e-05,,,,9.600011572931295e-08,-6.080767425451216e-10,-4.9066776490269755e-05,-1.9248668643212973e-307,-9.163910191483004e-308,2.601533110268786e-307,,,,5.478885677081e-311,4.25602002527176e-309,-5.524210601505019e-308,5.256366219019118e-09,3.5671593254123732e-09,-6.5586305351621896e-09,-1.1149623715007e-311,9.365156963223e-312,-2.721944852994e-311,2.6869236195560482e-05,0.0,4464,5370,5520,5562,5556
0.00648,1.3769896087539882e-05,9.34474714887506e-06,-1.7181386757065925e-05,,,,8.546050633148826e-08,-5.413175381249935e-10,-4.3679859457002996e-05,-2.549603181891221e-307,-1.1513041653957139e-307,4.097477290883854e-307,,,,7.591940391755e-311,5.90025452678059e-309,-7.658356786458839e-308,6.575760009343241e-09,4.462547444683055e-09,-8.204904032966061e-09,-3.1341117245545e-311,1.8695838252994e-311,3.0105058063e-312,2.3919330852553863e-05,0.0,4464,5370,5520,5562,5556
0.00741,9.649238701353805e-06,6.548320718620135e-06,-1.2039836828486939e-05,,,,5.988635062230346e-08,-3.7932763656244174e-10,-3.060861081759369e-05,-3.008674349785731e-307,-1.297194695497719e-307,5.475345435403165e-307,,,,9.2878304749713e-311,7.220889507701117e-309,-9.372473741100216e-308,7.64405897144081e-09,5.187533575060649e-09,-9.537873978656434e-09,-5.669603394792e-311,2.9865033081787e-311,4.667837259567e-311,1.676144333302488e-05,0.0,4464,5370,5520,5562,5556
0.00833,2.948363129807591e-06,2.0008653497417063e-06,-3.6788198626509335e-06,,,,1.8298511791273903e-08,-1.1590506281085266e-10,-9.352582352074062e-06,-3.1884738589913746e-307,-1.307003128422761e-307,6.5083548946242056e-307,,,,1.02055552684946e-310,7.93718291869815e-309,-1.0302168506093638e-307,8.2125383516738e-09,5.5733241455815465e-09,-1.0247194080500722e-08,-8.4661284954845e-311,4.161673618201e-311,1.00756018704953e-310,5.121525444127057e-06,0.0,4464,5370,5520,5562,5556
0.00926,-6.179932528662283e-06,-4.193924668010963e-06,7.711010325170572e-06,,,,-3.8354694881960566e-08,2.429434355152658e-10,1.96035309627331e-05,-2.9799347715256435e-307,-1.138381338224756e-307,6.949276868077259e-307,,,,9.983376301945e-311,7.767705134584227e-309,-1.0082156899591013e-307,8.065125466190945e-09,5.473284455189717e-09,-1.0063259664267196e-08,-1.1279940618424e-310,5.2771724234293e-311,1.6214502463528e-310,1.0735001183728684e-05,0.0,4464,5370,5520,5562,5556
