TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,-3.1651954271866036,3.781024829085918,100.03217108129483,0.14133,0.05843,0.00051,-0.012582228219527931,8.002482071859898e-05,6.428885400664169,7.855921716528783e-256,-2.7368984895456236e-256,-4.5188996655096274e-256,,,,-2.3749696031681337e-259,-1.846954400669526e-257,2.3972445436836464e-256,0.0,0.0,0.0,0.0,-0.0,0.0,100.15363129756149,0.0,3612,4464,4578,4620,4614
0.00093,-3.1730427569856445,3.830916058254212,100.16267552021353,0.14138,0.05832,0.00051,-0.012479866002497975,7.780362054567131e-05,6.376950669113939,1.2751889457461882e-255,-2.2515617531315496e-256,-8.401374923977958e-256,,,,-3.3669645380939386e-259,-2.6178000554941063e-257,3.3977670369087764e-256,-0.0002891282421282934,0.0003472301014873511,0.009132188219997709,9.400562184183452e-260,2.2755609666008327e-260,-5.893777058113606e-260,100.2861191070361,0.0,3612,4464,4578,4620,4614
0.00185,-3.180679123193962,3.8798268532951643,100.29302994308486,0.14086,0.05818,0.00051,-0.012380070488335457,7.569199024071936e-05,6.326302558694279,1.7352793381076439e-255,-1.3075759233946142e-256,-1.2287289517994417e-255,,,,-4.1904773997291615e-259,-3.2575233269430502e-257,4.228101157645382e-256,-0.0005758462956932783,0.0006951850861139283,0.018177952384734512,2.2985601361902257e-259,3.88165743451003e-260,-1.5229743774198062e-259,100.41843272657061,0.0,3612,4464,4578,4620,4614
0.00278,-3.188002427583693,3.9271243673299394,100.42341959360817,0.14073,0.05788,0.00051,-0.012285200460524124,7.378323133877438e-05,6.278127422730462,2.0931254080039689e-255,1.0219540773842196e-257,-1.563839641438933e-255,,,,-4.6804764267190883e-259,-3.6378510326382374e-257,4.721754573019954e-256,-0.0008663632576543271,0.0010513108764695733,0.027333934305025072,4.0449443872002297e-259,4.4315098374343366e-260,-2.7968464297543895e-259,100.55072783500198,0.0,3612,4464,4578,4620,4614
0.0037,-3.194956620449184,3.9722785072791136,100.55380382724934,0.14046,0.05724,0.00051,-0.012196883255895068,7.214815796679588e-05,6.233243209368877,2.2682704384040274e-255,1.9223968842816233e-256,-1.7828552571146818e-255,,,,-4.6685081918756493e-259,-3.627873685329193e-257,4.7088128657936036e-256,-0.0011544006676558589,0.0014077793305891815,0.03640323248911469,6.013067876850303e-259,3.5178923197373706e-260,-4.307075969675694e-259,100.68293901389097,0.0,3612,4464,4578,4620,4614
0.00463,-3.2015447137755917,4.014896709816201,100.68387475446661,0.14028,0.05724,0.00051,-0.012115845958044828,7.082927479703368e-05,6.192014233238979,2.1813797919056654e-255,4.0240414836373974e-256,-1.820414074865003e-255,,,,-4.005044802283484e-259,-3.1114189313994634e-257,4.0384893629950616e-256,-0.001446186670768523,0.0017721263088798097,0.045582991054137524,8.042842574159522e-259,8.053352616355919e-261,-5.950761324498206e-259,100.81474058746527,0.0,3612,4464,4578,4620,4614
0.00556,-3.2078309703298955,4.0547494491359934,100.81307371969511,0.13965,0.05651,0.00051,-0.012041924472300198,6.983926572829754e-05,6.154355729152606,1.765588846190371e-255,6.200233879054748e-256,-1.6166502762948882e-255,,,,-2.585935446259085e-259,-2.0076125375873056e-257,2.605812279142528e-256,-0.001738559956662521,0.0021402353228896524,0.054774576604209126,9.843311522956602e-259,-3.858621309186872e-260,-7.518629784245059e-259,100.94556456547339,0.0,3612,4464,4578,4620,4614
0.00648,-3.2139347195154544,4.091782820026362,100.94065468575927,0.13996,0.05628,0.00051,-0.011974237673453066,6.916344008012898e-05,6.119821813466007,9.795382688908395e-256,8.171417738856675e-256,-1.127157386894655e-255,,,,-3.805275696440833e-260,-2.9273356086812978e-258,3.799916903847753e-257,-0.002028348555182482,0.0025078557380678727,0.06387891535223365,1.1082077584908147e-258,-1.0343972818285581e-259,-8.756800430335972e-259,101.07466463667967,0.0,3612,4464,4578,4620,4614
0.00741,-3.2200194541636935,4.1261145220460795,101.06577297529378,0.13972,0.05581,0.00051,-0.011911480287238999,6.876520553432728e-05,6.08775353598157,-1.792041750109985e-256,9.602287287448603e-256,-3.33807197711562e-256,,,,2.541942064333188e-259,1.9792795364316108e-257,-2.5689644451161223e-256,-0.002321843025746117,0.00288272745217252,0.07309374155963408,1.1447161986842844e-258,-1.845171497161013e-259,-9.423241340072867e-259,101.20120460462837,0.0,3612,4464,4578,4620,4614
0.00833,-3.2262788311078032,4.15801046523154,101.18757468331135,0.1391,0.05602,0.00051,-0.011852263683104687,6.859336242125978e-05,6.057451243090619,-1.662081526119779e-255,1.0131529349835549e-255,7.448196023598277e-256,,,,5.991870052057505e-259,4.660923967628065e-257,-6.049606336811636e-256,-0.002612738682167279,0.0032565568763484104,0.08222062612607631,1.0616263401350568e-258,-2.7356797067350983e-259,-9.237767882351291e-259,101.32434651363778,0.0,3612,4464,4578,4620,4614
