REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,TIME,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
-2.0512619220859283,2.215840260994019,108.12641325040745,0.13206,0.06177,0.00049,1.037520518475438,1.2818028512115512e-184,6.448846042723403e-185,-3.355902058138294e-184,,,,-1.185492240056258e-185,0.0,108.16856690338986,0.0,3870,4788,4932,4968,4968,4818,4903
-2.050987831033982,2.2629756903788283,108.22418825835055,0.13233,0.06137,0.00049,1.0383308195889893,1.4178058935866778e-184,1.2426560374432082e-184,-3.819041615229879e-184,,,,-1.1609136041562322e-185,0.001,108.2672736067423,0.0,3870,4788,4932,4968,4968,4818,4903
-2.0505826890378307,2.309618196306022,108.32100268392149,0.1322,0.06099,0.00049,1.0390627269181585,1.496305092287381e-184,1.88267403542122e-184,-4.1460263928686163e-184,,,,-1.0629336693966018e-185,0.002,108.36502594484725,0.0,3870,4788,4932,4968,4968,4818,4903
-2.0498209377327528,2.3557572162542932,108.41635163704757,0.13184,0.06057,0.00049,1.039635816434993,1.501526697644492e-184,2.535273821979767e-184,-4.2911639685877324e-184,,,,-8.831360370444414e-186,0.003,108.46131411810687,0.0,3870,4788,4932,4968,4968,4818,4903
-2.0484594261098947,2.4014325175654725,108.50983861872119,0.13187,0.06047,0.00049,1.0399780811115191,1.418976104762695e-184,3.1643038541561904e-184,-4.2106686488387237e-184,,,,-6.16312731439057e-186,0.004,108.55573748640721,0.0,3870,4788,4932,4968,4968,4818,4903
-2.0462459261969297,2.4467286078271453,108.60117954386362,0.13133,0.06002,0.00049,1.0400297020286609,1.23654252857167e-184,3.7280076319260076e-184,-3.8656195772242154e-184,,,,-2.6139326069146136e-186,0.005,108.64800873273904,0.0,3870,4788,4932,4968,4968,4818,4903
-2.0429282942369715,2.491767067448611,108.69020254303015,0.13053,0.05981,0.00049,1.0397457212846035,9.456765819313507e-185,4.1804076308307095e-184,-3.225203854289941e-184,,,,1.7769110841863625e-186,0.006,108.73795376030732,0.0,3870,4788,4932,4968,4968,4818,4903
-2.038264104462109,2.5366971238713636,108.77684420990448,0.1304,0.05876,0.00049,1.0390974609377472,5.42585241691746e-185,4.473206733993958e-184,-2.270108083581641e-184,,,,6.912715065719647e-186,0.006,108.8255079892744,0.0,3870,4788,4932,4968,4968,4818,4903
-2.0320306088387725,2.5816850349762026,108.86114310935604,0.13037,0.05815,0.00049,1.0380726935231357,2.9376912277925724e-186,4.558194917722236e-184,-9.958865408072594e-185,,,,1.263402421474103e-185,0.007,108.91070987322951,0.0,3870,4788,4932,4968,4968,4818,4903
-2.024034838166773,2.6269029897491207,108.94323109624108,0.13015,0.05795,0.00049,1.036674707662975,-5.849207797697134e-185,4.3901166993154544e-184,5.838977143043907e-185,,,,1.871589432829489e-185,0.008,108.9936921937809,0.0,3870,4788,4932,4968,4968,4818,4903
-2.014123572447245,2.6725182173869055,109.02332247766523,0.13004,0.05771,0.00049,1.034920494127196,-1.283555279086254e-184,3.929918998409749e-184,2.434988468923639e-184,,,,2.4868514665860807e-185,0.009,109.07467117280866,0.0,3870,4788,4932,4968,4968,4818,4903
-2.002192785224418,2.718682859121763,109.1017006887412,0.1294,0.05722,0.00049,1.032838300419698,-2.041544181077295e-184,3.148261015130204e-184,4.500455874736185e-184,,,,3.07417864726223e-185,0.01,109.15393307441268,0.0,3870,4788,4932,4968,4968,4818,4903
-1.9881960227703488,2.7655249704961373,109.17870221899098,0.12979,0.05711,0.00049,1.0304647893562378,-2.8255591824398723e-184,2.0291293151628876e-184,6.699673221152996e-184,,,,3.593435260326579e-185,0.011,109.23181802941167,0.0,3870,4788,4932,4968,4968,4818,4903
-1.972151063273595,2.813140844167156,109.25469794959588,0.1289,0.05675,0.00049,1.0278420126388956,-3.5942810462300995e-184,5.733647341928463e-185,8.928496781761165e-184,,,,4.0007406029589076e-185,0.012,109.3087012331723,0.0,3870,4788,4932,4968,4968,4818,4903
-1.954144192609509,2.861588718755844,109.33007257940267,0.12926,0.05582,0.00049,1.025014380764226,-4.299295776944404e-184,-1.1981245098827547e-184,1.1060871003727541e-183,,,,4.2503385902656256e-185,0.013,109.38497218420031,0.0,3870,4788,4932,4968,4968,4818,4903
-1.9343315725497643,2.9108839094394963,109.40520322531694,0.12802,0.05555,0.00049,1.0220257814466929,-4.886583789321874e-184,-3.241714230788302e-184,1.2952040060791117e-183,,,,4.2969401884007906e-185,0.014,109.46101304363896,0.0,3870,4788,4932,4968,4968,4818,4903
-1.9129374172767566,2.9609954761804604,109.48043851755284,0.1284,0.05528,0.00049,1.0189169863836927,-5.298628816576898e-184,-5.489246107713142e-184,1.444348685248564e-183,,,,4.0984917048694236e-185,0.015,109.5371774411229,0.0,3870,4788,4932,4968,4968,4818,4903
-1.8902489524940127,3.0118446891562134,109.55607959458001,0.12796,0.0551,0.00049,1.0157234967202315,-5.477141837215573e-184,-7.847308206213919e-184,1.5369641831364475e-183,,,,3.6192876930840585e-185,0.016,109.61377114974174,0.0,3870,4788,4932,4968,4968,4818,4903
-1.8666083717132456,3.063305668496019,109.63236434771142,0.1275,0.05467,0.00048,1.0124739902290956,-5.366358020538423e-184,-1.0197869423484946e-183,1.5566307597404256e-183,,,,2.8333111238406195e-185,0.017,109.69103600979132,0.0,3870,4788,4932,4968,4968,4818,4903
-1.8424022309790327,3.115208584772424,109.7094560358542,0.12739,0.05442,0.00048,1.0091895181638322,-4.916822678396047e-184,-1.2400492451324868e-183,1.488063328231726e-183,,,,1.7276473210728413e-185,0.018,109.76913825930485,0.0,3870,4788,4932,4968,4968,4818,4903
-1.818048931020558,3.167345658124171,109.7874369453315,0.12733,0.05393,0.00048,1.0058835430995456,-4.08953703252395e-184,-1.429629999388673e-183,1.318234897806527e-183,,,,3.057840809912701e-186,0.019,109.8481619848906,0.0,3870,4788,4932,4968,4968,4818,4903
-1.79398510091902,3.2194798883586246,109.86630712506481,0.1265,0.05331,0.00048,1.0025628203428403,-2.860288321309484e-184,-1.5713799137408242e-183,1.0375839867249625e-183,,,,-1.4094191903918048e-185,0.019,109.92810775499107,0.0,3870,4788,4932,4968,4968,4818,4903
-1.7706517988245778,3.2713560670477855,109.9459875337044,0.12627,0.053,0.00048,0.9992290348152485,-1.2239438995794446e-184,-1.6476579206460988e-183,6.412508688366145e-184,,,,-3.37333295701658e-185,0.02,110.00889579062039,0.0,3870,4788,4932,4968,4968,4818,4903
-1.7484814684631595,3.322713308650346,110.02632644783917,0.12601,0.0528,0.00048,0.9958810472304191,8.015515429753387e-185,-1.641279063339472e-183,1.3027513805850708e-184,,,,-5.517981936949912e-185,0.021,110.09037252540985,0.0,3870,4788,4932,4968,4968,4818,4903
-1.7278865215754695,3.373298202049073,110.10710784577023,0.12586,0.05231,0.00048,0.9925175851899585,3.171769467815423e-184,-1.5366189157003681e-183,-4.873237078942477e-184,,,,-7.751544861438258e-185,0.022,110.17231925829404,0.0,3870,4788,4932,4968,4968,4818,4903
-1.7092502585817333,3.422877722223216,110.18806059291569,0.12615,0.05204,0.00048,0.9891402076493594,5.813297455014732e-184,-1.3208395356433925e-183,-1.1956692042249726e-183,,,,-9.959167369900152e-185,0.023,110.25446170371434,0.0,3870,4788,4932,4968,4968,4818,4903
-1.692920621832546,3.471251159226517,110.26886742691306,0.12574,0.05176,0.00048,0.9857563451524117,8.622468961753944e-184,-9.851879909802766e-184,-1.9704456353352794e-183,,,,-1.2005294186458834e-184,0.024,110.33647940937931,0.0,3870,4788,4932,4968,4968,4818,4903
-1.6792070177431146,3.5182604331299165,110.34917295858791,0.12538,0.05155,0.00048,0.9823821766079122,1.1465636055428022e-183,-5.263047271938092e-184,-2.77870202681924e-183,,,,-1.373767679861255e-184,0.025,110.41801422470934,0.0,3870,4788,4932,4968,4968,4818,4903
-1.6683801310073105,3.5637982530873096,110.42859029592842,0.12518,0.05109,0.00048,0.9790450737255937,1.418126770056681e-183,5.253367942477455e-185,-3.5791287822133255e-183,,,,-1.499314403152904e-184,0.026,110.49867739025777,0.0,3870,4788,4932,4968,4968,4818,4903
-1.6606742887979047,3.607813675864986,110.50670651130733,0.12445,0.05056,0.00048,0.9757853480559564,1.658410294117057e-183,7.403235678115959e-184,-4.3228821069998355e-183,,,,-1.560513559260465e-184,0.027,110.57805542958985,0.0,3870,4788,4932,4968,4968,4818,4903
-1.6562915919935435,3.6503147501829667,110.58308789069415,0.12366,0.05035,0.00048,0.9726570757635278,1.8471511215532718e-183,1.5174889307382356e-183,-4.955013519398755e-183,,,,-1.5412894433554654e-184,0.028,110.65571574507165,0.0,3870,4788,4932,4968,4968,4818,4903
-1.6554068261194534,3.6913680945277094,110.65728649347051,0.12412,0.04997,0.00048,0.9697278426180264,1.963211100782153e-183,2.355379388839864e-183,-5.416537062252239e-183,,,,-1.4272095530876208e-184,0.029,110.73121341458908,0.0,3870,4788,4932,4968,4968,4818,4903
-1.658172155936677,3.731095417832982,110.72884972133635,0.12356,0.04987,0.00048,0.9670773343610847,1.9856574421250652e-183,3.216207531294675e-183,-5.647135437809009e-183,,,,-1.2066560697827575e-184,0.03,110.80410086511232,0.0,3870,4788,4932,4968,4968,4818,4903
-1.6647207603646998,3.769667125996696,110.79733415164159,0.12375,0.04961,0.00048,0.9647947862429811,1.895040198845631e-183,4.053514385396177e-183,-5.588468745180546e-183,,,,-8.720576994000803e-185,0.031,110.873941666026,0.0,3870,4788,4932,4968,4968,4818,4903
-1.6751687831397875,3.8072932608761962,110.86232391325805,0.12396,0.0492,0.00048,0.962975392695831,1.674829378300179e-183,4.813237733322401e-183,-5.1880068379787925e-183,,,,-4.211207214021186e-185,0.031,110.94032871717332,0.0,3870,4788,4932,4968,4968,4818,4903
