REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,TIME,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
-3.313572275700104,3.955978754230188,104.8427125248562,0.14133,0.05843,0.00051,0.788909063032747,7.899757686448974e-172,1.0160918324857212e-171,-1.1322373670920726e-171,,,,-6.503882970610846e-174,1.4611307738422743,-0.8620433268401899,-17.276741051446354,0.0,-0.0,0.0,0.0,104.96963322170772,0.0,3612,4464,4578,4614,4614,4493,4545
-3.322536016686783,4.005159096234488,104.9878759110127,0.14138,0.05832,0.00051,0.7836317426486743,6.585708718677637e-172,1.1439153525128098e-171,-1.2377564467801395e-171,,,,1.0112096740853153e-173,1.46082934304648,-0.861681709456633,-17.267209953027304,6.579708277150298e-176,-9.811363166607494e-176,-1.0765181788286161e-175,0.001,105.11676666105427,0.0,3612,4464,4578,4614,4614,4493,4545
-3.331755340650961,4.054038878327254,105.13183817234273,0.14086,0.05818,0.00051,0.7784742163917666,4.627868904146993e-172,1.2288462920927374e-171,-1.2905163291761644e-171,,,,2.9346861935836707e-173,1.4605270863244808,-0.8613156379050697,-17.257665721704125,1.1673232188486289e-175,-2.058911722441991e-175,-2.2249311360369522e-175,0.002,105.26271525270761,0.0,3612,4464,4578,4614,4614,4493,4545
-3.341221392463419,4.1022367098639,105.2740364748649,0.14073,0.05788,0.00051,0.7734707230988123,2.017370507240172e-172,1.2575592066108782e-171,-1.277183711624606e-171,,,,5.0570061864538e-173,1.460223980859899,-0.8609451568139028,-17.248108492159297,1.469168775877259e-175,-3.1883073789313276e-175,-3.3912530713608093e-175,0.003,105.40690139705463,0.0,3612,4464,4578,4614,4614,4493,4545
-3.3509073434217616,4.149401427601741,105.4139690154498,0.14046,0.05724,0.00051,0.768645797992999,-1.2177801821499985e-172,1.217473058230181e-171,-1.1857520400963425e-171,,,,7.291174254287191e-173,1.4599200054572175,-0.8605703440862027,-17.23853844743412,1.505488428508279e-175,-4.3125369911325114e-175,-4.50998810539136e-175,0.004,105.54880850024689,0.0,3612,4464,4578,4614,4614,4493,4545
-3.3607653781269566,4.195219021821301,105.55119121266534,0.14028,0.05724,0.00051,0.7640128330956623,-5.0072203514535125e-172,1.0976392242608586e-171,-1.0065082851349333e-171,,,,9.526740089163454e-173,1.4596151423114656,-0.8601913078390763,-17.228955813557366,1.2227313091260534e-175,-5.364126427165273e-175,-5.505774709990258e-175,0.005,105.68797742875255,0.0,3612,4464,4578,4614,4614,4493,4545
-3.370724313141984,4.239417621873338,105.68531294303725,0.13965,0.05651,0.00051,0.7595734866733231,-9.234191286429482e-172,8.897048933810915e-172,-7.3305126390025e-172,,,,1.1631788585092034e-172,1.459309379022936,-0.8598081828019727,-17.219360854472463,5.758461387671611e-176,-6.266834298260598e-175,-6.295931826321134e-175,0.006,105.82400396902194,0.0,3612,4464,4578,4614,4614,4493,4545
-3.380688285413228,4.281770377609407,105.81599685424739,0.13996,0.05628,0.00051,0.7553179908180102,-1.3733460327078523e-171,5.88909479900715e-172,-3.6331127527750504e-172,,,,1.3456584398236695e-172,1.4590027107796444,-0.8594211263576492,-17.209753867166835,-4.6740951625696216e-176,-6.938462740072629e-175,-6.793930680623289e-175,0.006,105.95653732124222,0.0,3612,4464,4578,4614,4614,4493,4545
-3.390536973157517,4.3220961888286915,105.94295726546682,0.13972,0.05581,0.00051,0.7512263031271296,-1.8291706726291398e-171,1.9506153155189086e-172,9.94889872667181e-173,,,,1.4838975744332343e-172,1.458695142589334,-0.8590303144191213,-17.200135176927844,-1.9220831238917412e-175,-7.294564532644183e-175,-6.913766220851869e-175,0.007,106.08527914175635,0.0,3612,4464,4578,4614,4614,4493,4545
-3.400127685133379,4.360258376293878,106.06595892660702,0.1391,0.05602,0.00051,0.7472699619176223,-2.265082558458803e-171,-2.8656540857709287e-172,6.460004305179611e-172,,,,1.561157848667074e-172,1.4583866914065424,-0.8586359373338445,-17.190505132705002,-3.7818086667161415e-175,-7.253000885315507e-175,-6.57514385581778e-175,0.008,106.20998241410238,0.0,3612,4464,4578,4614,4614,4493,4545
